,b1-nummer,Naam,District,Verkiezingdatum,Vermogen,margin,Sterfdatum,Vermogen_deflated
45,00700,M. Kingma Hzn.,Dokkum,25/01/1859,,0.176036866359447,16-02-1900,
46,00520,B.P. van Harinxma thoe Slooten,Dokkum,10/06/1873,1415907,0.015143017386427,02-11-1923,823677.177182543
47,00102,W.A. Bergsma,Dokkum,08/06/1875,63082,0.188893946290396,15-03-1901,56492.7995667738
48,00618,I.F. van Humalda van Eysinga,Dokkum,14/06/1881,724670.74,0.043478260869565,24-04-1907,665584.325149575
49,00044,E.J. Attema,Dokkum,28/10/1884,,0.080556221529609,08-02-1886,
50,00696,E.B. Kielstra,Dokkum,28/10/1884,786814.81,0.074562455046751,04-06-1920,385061.545498851
51,00556,N. van Heloma,Steenwijk,20/02/1851,243614.76,0.084137931034483,16-09-1879,180082.916741514
52,01358,G.H. Thomassen Ã Thuessink van der Hoop,Steenwijk,12/06/1883,92730.02,0.080475857242827,22-04-1894,95728.066473387
53,01358,G.H. Thomassen Ã Thuessink van der Hoop,Steenwijk,28/10/1884,92730.02,0.112142304717711,22-04-1894,95728.066473387
54,01260,B.W.A.E. van Sloet tot Oldhuis,Zwolle,27/08/1850,240349.575,0.17660105350707,16-06-1884,205274.467368709
55,00353,A.J. Duymaer van Twist,Zwolle,27/08/1850,279721.15,0.075408927086221,03-12-1887,265941.783056362
56,00485,G. Groen van Prinsterer,Zwolle,08/06/1852,,0.014363885088919,19-05-1876,
57,01603,J.P.J.A. graaf van Zuylen van Nijevelt,Zwolle,09/04/1861,61153.49,0.094262295081967,01-07-1894,63130.6383391226
58,00891,G.A. de Meester,Zwolle,10/06/1862,,0.028510334996436,02-03-1864,
59,00293,A. van Dedem,Zwolle,12/06/1883,,0.159010600706714,01-03-1931,
60,00293,A. van Dedem,Zwolle,28/10/1884,,0.069998055609566,01-03-1931,
61,00042,T.A.J. van Asch van Wijck,Zwolle,28/10/1884,-101524.62,0.06358156717869,09-09-1902,-91953.417998602
62,00293,A. van Dedem,Zwolle,15/06/1886,,0.03547557840617,01-03-1931,
63,00042,T.A.J. van Asch van Wijck,Zwolle,15/06/1886,-101524.62,0.027934875749786,09-09-1902,-91953.417998602
64,00293,A. van Dedem,Zwolle,01/09/1887,,0.086670651524208,01-03-1931,
65,00042,T.A.J. van Asch van Wijck,Zwolle,01/09/1887,-101524.62,0.077704722056187,09-09-1902,-91953.417998602
66,00587,W.R. van Hoëvell,Almelo,11/09/1850,35658.425,0.078313253012048,10-02-1879,26359.1302120139
67,00872,M.J. de Man,Almelo,13/06/1854,,0.164948453608247,22-12-1854,
68,00273,J.R. Corver Hooft,Almelo,08/06/1875,715203.6,0.081745235707121,16-03-1889,678486.429944473
69,00273,J.R. Corver Hooft,Almelo,22/06/1875,715203.6,0.026692087702574,16-03-1889,678486.429944473
70,00273,J.R. Corver Hooft,Almelo,10/06/1879,715203.6,0.085698070374574,16-03-1889,678486.429944473
71,00776,A. van Laer,Almelo,06/05/1884,163189.74,0.022526934378061,29-03-1903,158854.841222718
72,00776,A. van Laer,Almelo,20/05/1884,163189.74,0.018166089965398,29-03-1903,158854.841222718
73,00273,J.R. Corver Hooft,Almelo,28/10/1884,715203.6,0.017205781142464,16-03-1889,678486.429944473
74,00776,A. van Laer,Almelo,28/10/1884,163189.74,0.015141087405368,29-03-1903,158854.841222718
75,00273,J.R. Corver Hooft,Almelo,11/11/1884,715203.6,0.030070377479207,16-03-1889,678486.429944473
76,00089,A.H.M. van Berckel,Almelo,11/11/1884,41260.15,0.015568351460866,10-11-1915,35834.4402851193
77,00019,J. van Alphen,Almelo,15/06/1886,169915.83,0.028296547821166,15-07-1911,157729.690485883
78,00273,J.R. Corver Hooft,Almelo,15/06/1886,715203.6,0.027164685908319,16-03-1889,678486.429944473
79,00299,A. van Delden,Deventer,30/10/1866,95705.29,0.155602761550717,08-11-1898,97661.9014593718
80,00350,G. Dumbar,Deventer,30/10/1866,506302.01,0.1311736590547,01-08-1878,348516.521529514
81,00299,A. van Delden,Deventer,22/01/1868,95705.29,0.101657458563536,08-11-1898,97661.9014593718
82,00350,G. Dumbar,Deventer,22/01/1868,506302.01,0.079834254143647,01-08-1878,348516.521529514
83,01083,H.A. van Rappard,Zutphen,30/10/1866,0,0.057980900409277,04-10-1877,0
84,00285,J. Dam,Zutphen,30/10/1866,,0.014324693042292,29-06-1875,
85,00198,W.G. van Brantsen van de Zijp,Zutphen,05/12/1882,724361,0.019848430169614,08-11-1899,719637.987362833
86,00198,W.G. van Brantsen van de Zijp,Zutphen,12/06/1883,724361,0.002560819462228,08-11-1899,719637.987362833
87,00198,W.G. van Brantsen van de Zijp,Zutphen,28/10/1884,724361,0.006061598951507,08-11-1899,719637.987362833
88,01081,S.M.S. de Ranitz,Zutphen,28/10/1884,155957.88,0.000819134993447,25-02-1909,144479.380100346
89,01081,S.M.S. de Ranitz,Zutphen,15/06/1886,155957.88,0.035444101989353,25-02-1909,144479.380100346
90,01552,J. Willink,Zutphen,15/06/1886,174000,0.031521434575511,19-01-1896,186428.571339626
91,00855,W. van Lynden,Arnhem,24/09/1850,,0.086232980332829,01-06-1866,
92,00861,Æ. van Mackay,Arnhem,24/09/1850,,0.074432677760968,06-03-1876,
93,00855,W. van Lynden,Arnhem,08/10/1850,,0.088987062164721,01-06-1866,
94,00861,Æ. van Mackay,Arnhem,08/10/1850,,0.062480277690123,06-03-1876,
95,00855,W. van Lynden,Arnhem,14/06/1864,,0.161363636363636,01-06-1866,
96,01256,P.W. van der Sleyden,Arnhem,15/06/1886,140590.47,0.00509571684341,11-12-1923,81785.8527914382
97,01130,W. Rooseboom,Arnhem,15/06/1886,251187.84,0.003993940228619,06-03-1920,122929.533927962
98,00974,J.A.C.A. van Nispen van Sevenaer,Nijmegen,10/06/1862,,0.033147773279352,05-05-1875,
99,00681,J.M. de Kempenaer,Tiel,09/11/1852,,0.044324324324324,12-02-1870,
100,00681,J.M. de Kempenaer,Tiel,08/06/1858,,0.195414847161572,12-02-1870,
101,00071,W.H. de Beaufort,Tiel,17/04/1877,,0.120979020979021,02-04-1918,
102,00076,G.J.T. Beelaerts van Blokland,Tiel,28/10/1884,286116.44,0.007502679528403,14-03-1897,294911.141635687
103,00046,F.W.J. van Aylva van Pallandt,Tiel,28/10/1884,320420.09,0.006073597713469,27-01-1906,292561.867442634
104,00382,A.W. Engelen,Amersfoort,10/06/1856,30833.01,0.030040439052571,29-01-1890,29266.0865403332
105,00485,G. Groen van Prinsterer,Amersfoort,24/04/1860,,0.040100250626567,19-05-1876,
106,00037,H.A.M. van Asch van Wijck,Amersfoort,10/06/1862,,0.057165861513688,02-02-1868,
107,00037,H.A.M. van Asch van Wijck,Amersfoort,24/06/1862,,0.164572112507481,02-02-1868,
108,00519,E.L. van Hardenbroek van Lockhorst,Amersfoort,13/06/1871,,0.193349753694581,23-04-1877,
109,00037,H.A.M. van Asch van Wijck,Utrecht,17/05/1853,,0.11204851041392,02-02-1868,
110,00697,N.P.J. Kien,Utrecht,08/06/1858,,0.157303370786517,17-07-1879,
111,00697,N.P.J. Kien,Utrecht,12/06/1866,,0.061574896388396,17-07-1879,
112,00878,E. du Marchie van Voorthuysen,Utrecht,30/10/1866,570020.14,0.185300454871918,23-02-1894,588449.413179134
113,00697,N.P.J. Kien,Utrecht,30/10/1866,,0.111802729231506,17-07-1879,
114,00697,N.P.J. Kien,Utrecht,13/11/1866,,0.064377682403434,17-07-1879,
115,01118,J. Roëll,Utrecht,28/10/1884,583211.25,0.111320754716981,13-07-1914,506518.970768037
116,00066,J.N. Bastert,Utrecht,28/10/1884,187460.88,0.105188679245283,19-10-1902,169788.063792071
117,00428,L.G. Verwer,Hilversum,26/02/1878,80656,0.013157894736842,17-01-1883,58462.473620955
118,00864,T.P. van Mackay,Hilversum,09/05/1882,259640.89,0.139280125195618,29-11-1922,133419.716003123
119,00529,W.J.C. van Hasselt,Hoorn,30/11/1848,,0.19120654396728,02-03-1864,
120,01190,E.T. Scheltinga Winterberg,Hoorn,14/12/1848,,0.08092485549133,28-02-1859,
121,00943,S.A. de Moraaz,Alkmaar,30/11/1848,,0.069075451647184,05-03-1863,
122,00963,A.S. van Nierop,Hoorn,20/04/1852,,0.004475703324808,16-05-1878,
123,00963,A.S. van Nierop,Hoorn,05/05/1852,,0.112790697674419,16-05-1878,
124,00515,F.A. van Hall,Hoorn,30/07/1858,,0.133996937212864,29-03-1866,
125,00963,A.S. van Nierop,Hoorn,14/06/1864,,0.008181818181818,16-05-1878,
126,00903,H. Mensonides,Hoorn,12/06/1866,73785.37,0.183457051961824,04-06-1881,57638.5984247217
127,00421,I.D. Fransen van de Putte,Hoorn,13/10/1874,,0.019448213478064,03-03-1902,
128,00421,I.D. Fransen van de Putte,Hoorn,27/10/1874,,0.086743044189853,03-03-1902,
129,01000,N. Olivier,Alkmaar,12/06/1866,,0.141482194417709,12-11-1869,
130,00416,C. van Foreest,Alkmaar,25/10/1870,,0.084626940410616,22-05-1875,
131,00666,W. van der Kaay,Alkmaar,28/10/1884,6642.13,0.14828897338403,29-07-1918,4222.44311029542
132,00232,J.L. de Bruyn Kops,Alkmaar,28/10/1884,27232.45,0.072053231939164,01-10-1887,25890.9500050076
133,00666,W. van der Kaay,Alkmaar,15/06/1886,6642.13,0.088524087143296,29-07-1918,4222.44311029542
134,00232,J.L. de Bruyn Kops,Alkmaar,15/06/1886,27232.45,0.082387235348266,01-10-1887,25890.9500050076
135,00515,F.A. van Hall,Haarlem,10/06/1862,,0.039160839160839,29-03-1866,
136,00614,G.L.J. van der Hucht,Haarlem,30/10/1866,,0.023208587177256,05-03-1874,
137,00437,J.H. Geertsema,Haarlem,30/10/1866,59189.94,0.015375689004932,14-04-1908,51401.3227615286
138,00437,J.H. Geertsema,Haarlem,13/11/1866,59189.94,0.023526301876817,14-04-1908,51401.3227615286
139,00614,G.L.J. van der Hucht,Haarlem,13/11/1866,,0.003436426116838,05-03-1874,
140,00358,J. Duyvis,Haarlem,28/10/1884,478263.13,0.16919959473151,24-04-1908,415329.9954362
141,00917,W. de Meyier,Haarlem,28/10/1884,187738.57,0.079280648429585,23-03-1909,173921.011330274
142,00397,A.J.W. Farncombe Sanders,Haarlem,15/06/1886,12087.75,0.09986565158979,07-09-1896,12951.1607081067
143,00917,W. de Meyier,Haarlem,15/06/1886,187738.57,0.097626511419615,23-03-1909,173921.011330274
144,00055,C. Backer,Amsterdam,27/08/1850,,0.151805920159319,30-06-1864,
145,00464,M.H. Godefroi,Amsterdam,27/08/1850,,0.122114601249208,25-06-1882,
146,01312,H. Stolte,Amsterdam,27/08/1850,,0.099031411242871,30-11-1859,
147,00538,J. Heemskerk Bzn.,Amsterdam,27/08/1850,1948,0.068615913822757,17-12-1880,1430.36692402077
148,00515,F.A. van Hall,Amsterdam,27/08/1850,,0.051416674210193,29-03-1866,
149,00464,M.H. Godefroi,Amsterdam,17/05/1853,,0.105925672204145,25-06-1882,
150,00419,S.R. van Franck,Amsterdam,17/05/1853,,0.044613803733516,01-12-1867,
151,01312,H. Stolte,Amsterdam,17/05/1853,,0.022949135125878,30-11-1859,
152,00183,J. Bosscha,Amsterdam,17/05/1853,,0.010875149854427,09-12-1874,
153,00067,J.C. Baud,Amsterdam,17/05/1853,,0.006850488097277,27-06-1859,
154,00419,S.R. van Franck,Amsterdam,13/06/1854,,0.079338141705558,01-12-1867,
155,00183,J. Bosscha,Amsterdam,13/06/1854,,0.058124734832414,09-12-1874,
156,00067,J.C. Baud,Amsterdam,13/06/1854,,0.035214255409419,27-06-1859,
157,01100,J.G. Rijnders,Amsterdam,20/03/1860,,0.044182621502209,24-02-1869,
158,00464,M.H. Godefroi,Amsterdam,10/06/1862,,0.166546329723225,25-06-1882,
159,00538,J. Heemskerk Bzn.,Amsterdam,10/06/1862,1948,0.059927797833935,17-12-1880,1430.36692402077
160,00265,S. Cool,Amsterdam,14/06/1864,,0.063440030852295,09-10-1864,
161,01331,J. van Swieten,Amsterdam,14/06/1864,80125.64,0.010219822599306,09-09-1888,74762.6969827999
162,00569,C. van Heukelom,Amsterdam,14/06/1864,504430.335,0.007520246818357,11-07-1880,370390.383294002
163,00569,C. van Heukelom,Amsterdam,28/06/1864,504430.335,0.02265050665607,11-07-1880,370390.383294002
164,01331,J. van Swieten,Amsterdam,28/06/1864,80125.64,0.022451818001192,09-09-1888,74762.6969827999
165,01092,G.C.J. van Reenen,Amsterdam,22/01/1868,587570.13,0.080189223491404,31-05-1893,593377.508881593
166,00628,H.A. Insinger,Amsterdam,22/01/1868,,0.009288104303681,20-02-1911,
167,01116,J.J. Rochussen,Amsterdam,22/01/1868,,0.008249682704511,21-01-1871,
168,01068,M.J. Pijnappel,Amsterdam,22/01/1868,1927298.96,0.008134302526826,31-01-1906,1759734.17540032
169,00464,M.H. Godefroi,Amsterdam,22/01/1868,,0.00548055844006,25-06-1882,
170,00184,P.P. van Bosse,Amsterdam,22/01/1868,178984.54,0.002884504442137,21-02-1879,132307.492431239
171,01303,T.J. Stieltjes,Amsterdam,08/06/1869,0,0.080661110326317,23-06-1878,0
172,00538,J. Heemskerk Bzn.,Amsterdam,08/06/1869,1948,0.076281960728917,17-12-1880,1430.36692402077
173,00784,M.J. de Lange,Amsterdam,08/06/1869,223380.55,0.057493996327165,06-12-1892,212539.447497089
174,00631,E.H. s' Jacob,Amsterdam,12/10/1869,665450.23,0.186414708886619,15-04-1912,593310.260831739
175,01092,G.C.J. van Reenen,Amsterdam,08/02/1870,587570.13,0.054461538461539,31-05-1893,593377.508881593
176,00409,C. Fock,Amsterdam,13/06/1871,-4863.65,0.018768246906715,09-05-1910,-4477.9815825912
177,01092,G.C.J. van Reenen,Amsterdam,13/06/1871,587570.13,0.012373140553316,31-05-1893,593377.508881593
178,00631,E.H. s' Jacob,Amsterdam,13/06/1871,665450.23,0.003614625330182,15-04-1912,593310.260831739
179,00631,E.H. s' Jacob,Amsterdam,27/06/1871,665450.23,0.011437095972153,15-04-1912,593310.260831739
180,01303,T.J. Stieltjes,Amsterdam,10/06/1873,0,0.111062906724512,23-06-1878,0
181,00784,M.J. de Lange,Amsterdam,10/06/1873,223380.55,0.028416485900217,06-12-1892,212539.447497089
182,00645,J.A. Jolles,Amsterdam,10/06/1873,28244.71,0.022776572668113,23-12-1882,20676.4418326662
183,01365,G. van Tienhoven,Amsterdam,26/02/1878,381103.35,0.011247443762781,10-10-1914,330988.259568468
184,00458,A. Gildemeester,Amsterdam,27/03/1883,104918,0.008599838753023,12-03-1901,93958.8400010585
185,00118,J.J.W. van den Biesen,Haarlemmermeer,08/06/1869,100438.9,0.1834451901566,21-02-1897,103526.210041033
186,01091,F.J.M.A. Reekers,Haarlemmermeer,19/03/1878,234556,0.192771084337349,27-05-1922,120529.531796122
187,01091,F.J.M.A. Reekers,Haarlemmermeer,10/06/1879,234556,0.111386138613861,27-05-1922,120529.531796122
188,01091,F.J.M.A. Reekers,Haarlemmermeer,24/06/1879,234556,0.039382239382239,27-05-1922,120529.531796122
189,01091,F.J.M.A. Reekers,Haarlemmermeer,15/06/1886,234556,0.105226480836237,27-05-1922,120529.531796122
190,01091,F.J.M.A. Reekers,Haarlemmermeer,29/06/1886,234556,0.104575163398693,27-05-1922,120529.531796122
191,00456,D.T. Gevers van Endegeest,Leiden,27/08/1850,1026960.73,0.073000536768653,27-07-1877,719634.817726345
192,01337,P.H. van Taets van Amerongen,Leiden,27/08/1850,,0.019860440150295,22-02-1873,
193,01000,N. Olivier,Leiden,18/08/1857,,0.016393442622951,12-11-1869,
194,01337,P.H. van Taets van Amerongen,Leiden,10/06/1862,,0.000914913083257,22-02-1873,
195,01509,O. van Wassenaer van Catwijck,Leiden,30/10/1866,465286.54,0.096385542168675,19-11-1887,442366.020873735
196,01337,P.H. van Taets van Amerongen,Leiden,30/10/1866,,0.087349397590362,22-02-1873,
197,01509,O. van Wassenaer van Catwijck,Leiden,22/01/1868,465286.54,0.105297580117724,19-11-1887,442366.020873735
198,01337,P.H. van Taets van Amerongen,Leiden,22/01/1868,,0.013080444735121,22-02-1873,
199,01337,P.H. van Taets van Amerongen,Leiden,22/06/1869,,0.191283292978208,22-02-1873,
200,00573,H.A. Neeb,Leiden,18/03/1873,24784.9,0.108745684695052,07-06-1898,25291.6057354863
201,00088,J.L.C. van den Berch van Heemstede,Leiden,01/04/1873,2145671.5,0.158956109134045,02-07-1879,1586105.79297059
202,00088,J.L.C. van den Berch van Heemstede,Leiden,12/06/1877,2145671.5,0.097025841053145,02-07-1879,1586105.79297059
203,01509,O. van Wassenaer van Catwijck,Leiden,28/10/1884,465286.54,0.13732912723449,19-11-1887,442366.020873735
204,00334,J.H. Donner,Leiden,28/10/1884,29614.65,0.135226077812829,31-08-1903,28827.9797713775
205,,H. graaf van Limburg Stirum,Leiden,15/06/1886,,0.018717139852787,,
206,01268,J.P. Smeele,Leiden,15/06/1886,3565.77,0.013038906414301,05-01-1888,3327.10705362676
207,01509,O. van Wassenaer van Catwijck,Leiden,29/06/1886,465286.54,0.096236466746864,19-11-1887,442366.020873735
208,01268,J.P. Smeele,Leiden,29/06/1886,3565.77,0.030417597525348,05-01-1888,3327.10705362676
209,01268,J.P. Smeele,Leiden,01/09/1887,3565.77,0.022201138519924,05-01-1888,3327.10705362676
210,00988,J.P.T. van Nunen,Leiden,01/09/1887,,0.01764705882353,31-01-1910,
211,00201,W.M. de Brauw,Gouda,14/06/1864,,0.119402985074627,17-01-1874,
212,00201,W.M. de Brauw,Gouda,08/06/1869,,0.023401587964898,17-01-1874,
213,00589,M.A.F.H. Hoffman,Gouda,13/06/1871,,0.199756394640682,03-02-1874,
214,00201,W.M. de Brauw,Gouda,10/06/1873,,0.078059071729958,17-01-1874,
215,01424,H.C. Verniers van der Loeff,Gouda,13/02/1874,234413.34,0.0286599535244,22-01-1891,222306.164876163
216,00112,M. Bichon van Ysselmonde,Gouda,12/06/1877,437757.53,0.012808988764045,22-05-1889,415283.904766434
217,00112,M. Bichon van Ysselmonde,Gouda,14/06/1881,437757.53,0.139196675900277,22-05-1889,415283.904766434
218,00465,K.A. Godin de Beaufort,Gouda,28/10/1884,,0.100769888793841,07-04-1921,
219,00612,U.H. Huber,Gouda,28/10/1884,192459.58,0.095979469632164,05-03-1917,130414.629796733
220,00465,K.A. Godin de Beaufort,Gouda,15/06/1886,,0.047007950899707,07-04-1921,
221,00612,U.H. Huber,Gouda,15/06/1886,192459.58,0.045194587808621,05-03-1917,130414.629796733
222,00465,K.A. Godin de Beaufort,Gouda,01/09/1887,,0.08030860950377,07-04-1921,
223,00612,U.H. Huber,Gouda,01/09/1887,192459.58,0.079431877958969,05-03-1917,130414.629796733
224,01557,W. Wintgens,Delft,17/05/1853,628560.775,0.168686379059622,12-01-1895,656293.619577483
225,00586,C. Hoekwater,Delft,17/05/1853,2077,0.097188560349006,01-07-1877,1455.44174451307
226,00586,C. Hoekwater,Delft,12/06/1860,2077,0.041450777202073,01-07-1877,1455.44174451307
227,00968,J.L. Nierstrasz,Delft,08/06/1869,10900.76,0.171711899791232,09-12-1878,7503.61421087004
228,00968,J.L. Nierstrasz,Delft,10/06/1873,10900.76,0.109546165884194,09-12-1878,7503.61421087004
229,00968,J.L. Nierstrasz,Delft,24/06/1873,10900.76,0.092498849516797,09-12-1878,7503.61421087004
230,00255,F. de Casembroot,Delft,08/06/1875,1493.75,0.0750098697197,14-04-1895,1559.65601614874
231,00255,F. de Casembroot,Delft,22/06/1875,1493.75,0.10568454763811,14-04-1895,1559.65601614874
232,01183,A.M. Schagen van Leeuwen,Delft,12/06/1877,,0.030882992605481,15-09-1906,
233,01183,A.M. Schagen van Leeuwen,Delft,26/06/1877,,0.143780290791599,15-09-1906,
234,00089,A.H.M. van Berckel,Delft,12/06/1883,41260.15,0.042179917879806,10-11-1915,35834.4402851193
235,00089,A.H.M. van Berckel,Delft,26/06/1883,41260.15,0.029092183666316,10-11-1915,35834.4402851193
236,00396,J.C. Fabius,Delft,15/06/1886,,0.101851851851852,08-04-1924,
237,00089,A.H.M. van Berckel,Delft,15/06/1886,41260.15,0.080194601381042,10-11-1915,35834.4402851193
238,00421,I.D. Fransen van de Putte,Rotterdam,22/01/1868,,0.057113791600058,03-03-1902,
239,01437,W.A. Viruly Verbrugge,Rotterdam,22/01/1868,564769.07,0.054643220462142,10-12-1908,490452.8920421
240,00130,F.W.C. Blom,Rotterdam,22/01/1868,149670,0.051591338468246,15-01-1877,104880.099133978
241,00889,R.P. Mees R.Az.,Rotterdam,10/06/1879,366416.12,0.098842134990116,04-06-1915,318232.400309866
242,01311,J. van Stolk Jzn.,Rotterdam,10/06/1879,193148.03,0.065235809093477,30-07-1880,141823.692788384
243,01093,O. van Rees,Rotterdam,24/08/1880,454809.63,0.031065881092662,10-03-1892,432736.81382088
244,01093,O. van Rees,Rotterdam,07/09/1880,454809.63,0.054248679788766,10-03-1892,432736.81382088
245,00444,J. van Gennep,Rotterdam,14/06/1881,19484.52,0.005216484089724,08-06-1911,18087.1158906501
246,01424,H.C. Verniers van der Loeff,Rotterdam,12/02/1884,234413.34,0.167957405614714,22-01-1891,222306.164876163
247,00165,W. Boreel van Hogelanden,Den Haag,27/08/1850,1873986.14,0.123987034035656,24-08-1883,1358334.96919988
248,00067,J.C. Baud,Den Haag,27/08/1850,,0.092787682333874,27-06-1859,
249,01202,R.J. graaf van Schimmelpenninck,Den Haag,10/06/1873,52516.85,0.13386978785662,23-04-1893,53035.9118618032
250,01202,R.J. graaf van Schimmelpenninck,Den Haag,12/06/1877,52516.85,0.1390625,23-04-1893,53035.9118618032
251,01557,W. Wintgens,Den Haag,12/06/1883,628560.775,0.110795454545455,12-01-1895,656293.619577483
252,00483,L.G. Greeve,Den Haag,01/09/1887,-3976.6,0.038441422594142,01-10-1889,-3772.44904432415
253,00470,H.M.A. van Goes van Dirxland,Den Haag,01/09/1887,81697.52,0.027981171548117,29-01-1890,77545.6788179489
254,00138,P. Blussé van Oud-Alblas,Dordrecht,27/08/1850,256112.74,0.031429666538904,19-05-1887,243496.34891409
255,01074,G.A. de Raadt,Dordrecht,22/06/1852,685978.4,0.121354656632173,31-12-1883,497222.700289438
256,01041,J.D. van der Poel,Dordrecht,10/06/1856,,0.045053868756122,08-04-1898,
257,01169,P.A. Sander,Dordrecht,27/12/1859,,0.027027027027027,23-03-1860,
258,01074,G.A. de Raadt,Dordrecht,13/02/1860,685978.4,0.083876980428705,31-12-1883,497222.700289438
259,01006,J.B. van Osenbruggen,Dordrecht,22/04/1879,,0.113702623906706,25-02-1889,
260,01006,J.B. van Osenbruggen,Dordrecht,06/05/1879,,0.132890365448505,25-02-1889,
261,00828,G.M. van der Linden,Dordrecht,14/06/1881,276159.77,0.0423402617398,04-04-1888,257675.934985976
262,01195,C. Schiffer,Gorinchem,27/08/1850,,0.018143009605123,14-10-1873,
263,00485,G. Groen van Prinsterer,Gorinchem,25/01/1859,,0.063622370446383,19-05-1876,
264,00082,W.C.M. Begram,Gorinchem,30/10/1866,1124255.22,0.170413669064748,06-05-1890,1067120.93830415
265,01249,G. Simons,Gorinchem,30/10/1866,,0.086780575539568,17-11-1868,
266,00691,L.W.C. Keuchenius,Gorinchem,10/06/1879,-8049.76,0.147455867082035,17-12-1893,-8129.32157714465
267,01238,H. Seret,Gorinchem,23/09/1880,4436.6,0.151291512915129,23-12-1912,3955.63812970069
