,Naam,name_in_all_elections,name_in_elected_people,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,totaal aantal stemmen,hoeveelste_in_verkiezing,gewonnen,marginal_winner,marginal_loser,margin,consequential_election,hoelang_tussen_1_en_2,hoelang_tussen_1_en_laatst,hoeveel_distr_deze_verk,hoeveelste_keer_prob,hoeveelste_keer_prob_alg,hoeveelste_keer_gewonnen,hoeveelste_keer_gewonnen_alg,hoeveelste_keer_gewonnen_tweedeproxy,hoevaak_gewonnen_alltime,hoevaak_gewonnen_verleden,hoevaak_gewonnen_toekomst,name_politician_data,b1-nummer,naam,deflated_wealth,verk_2_gewonnen,verk_3_gewonnen,verk_4_gewonnen,verk_5_gewonnen,verk_6_gewonnen,verk_7_gewonnen,verk_8_gewonnen,verk_9_gewonnen,verk_10_gewonnen
13,J. Donker Hzn.,J. Donker Hzn.,J.  Donker Hzn.,,52.0,3.64%,Alkmaar,1852-06-29,tussentijds,2801,1440,1441,1430,3,1.0,715,1313.0,5,0,0,0,-0.511043412033511,1,-672 days +00:00:00,1008 days,1,4,4,,,0,1,0,1,J.  Donker,00330,J.  Donker,,0.0,,,,,,,,
14,J.C. Rijk,J.C. Rijk,J.C.  Rijk,,41.0,2.87%,Alkmaar,1852-06-29,tussentijds,2801,1440,1441,1430,3,1.0,715,1313.0,6,0,0,0,-0.5194211728865195,1,-21 days +00:00:00,1024 days,1,3,3,,,0,1,0,1,J.C.  Rijk,01160,J.C.  Rijk,,0.0,0.0,,,,,,,
15,mr. G.A. Fokker,mr. G.A. Fokker,G.A.  Fokker,,31.0,2.17%,Alkmaar,1852-06-29,tussentijds,2801,1440,1441,1430,3,1.0,715,1313.0,7,0,0,0,-0.5270373191165271,1,-21 days +00:00:00,9742 days,1,9,9,,,0,6,1,5,G.A.  Fokker,00414,G.A.  Fokker,76288.39423940258,1.0,1.0,1.0,0.0,0.0,,,,
16,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,1506.0,77.29%,Alkmaar,1853-05-17,algemeen,2848,1961,1961,3897,11,2.0,974,3823.0,1,1,0,0,0.23384776353648967,1,322 days 00:00:00,5706 days,1,4,3,2,2,1,6,1,4,J.J.  Rochussen,01116,J.J.  Rochussen,,1.0,0.0,0.0,1.0,,,,,
17,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,1293.0,66.36%,Alkmaar,1853-05-17,algemeen,2848,1961,1961,3897,11,2.0,974,3823.0,2,1,1,0,0.17813235678786293,1,994 days 00:00:00,8323 days,1,2,2,1,1,1,9,0,8,C. van Foreest,00416,C. van Foreest,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,
18,S.A. de Moraaz,S.A. de Moraaz,S.A. de Moraaz,,612.0,31.41%,Alkmaar,1853-05-17,algemeen,2848,1961,1961,3897,11,2.0,974,3823.0,3,0,0,1,-0.17813235678786293,1,635 days 00:00:00,2021 days,1,3,3,,,0,2,2,0,S.A. de Moraaz,00943,S.A. de Moraaz,,0.0,,,,,,,,
19,mr. J.R. Thorbecke,,,,412.0,21.14%,Alkmaar,1853-05-17,algemeen,2848,1961,1961,3897,11,2.0,974,3823.0,4,0,0,0,-0.23044729270206643,1,-1629 days +00:00:00,6992 days,14,29,26,,,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,,,,
20,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,889.0,73.84%,Alkmaar,1854-06-13,periodiek,2848,1213,1213,1204,9,1.0,602,1169.0,1,1,1,0,0.5209580838323353,1,322 days 00:00:00,5706 days,1,5,4,3,3,1,6,2,3,J.J.  Rochussen,01116,J.J.  Rochussen,,0.0,0.0,1.0,,,,,,
21,S.A. de Moraaz,S.A. de Moraaz,S.A. de Moraaz,,280.0,23.26%,Alkmaar,1854-06-13,periodiek,2848,1213,1213,1204,9,1.0,602,1169.0,2,0,0,1,-0.5209580838323353,1,635 days 00:00:00,2021 days,1,4,4,,,0,2,2,0,S.A. de Moraaz,00943,S.A. de Moraaz,,,,,,,,,,
22,mr. A.S. van Nierop,mr. A.S. van Nierop,A.S. van Nierop,,642.0,44.90%,Alkmaar,1856-06-10,periodiek,2908,1443,1443,1430,7,1.0,715,1389.0,1,1,1,0,0.012239020878329733,0,5481 days 00:00:00,10059 days,2,10,8,6,5,0,5,3,2,A.S. van Nierop,00963,A.S. van Nierop,,0.0,0.0,0.0,0.0,,,,,
23,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,625.0,43.71%,Alkmaar,1856-06-10,periodiek,2908,1443,1443,1430,7,1.0,715,1389.0,2,0,0,1,-0.012239020878329733,0,994 days 00:00:00,8323 days,1,3,3,,,0,9,1,8,C. van Foreest,00416,C. van Foreest,,0.0,1.0,1.0,0.0,0.0,1.0,,,
24,mr. L. Metman,mr. L. Metman,L.  Metman,,122.0,8.53%,Alkmaar,1856-06-10,periodiek,2908,1443,1443,1430,7,1.0,715,1389.0,3,0,0,0,-0.3743700503959683,0,280 days 00:00:00,3710 days,3,15,14,,,0,1,1,0,L.  Metman,00910,L.  Metman,,0.0,0.0,,,,,,,
25,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,1061.0,52.52%,Alkmaar,1856-06-24,herstemming,2908,2032,2032,2020,8,1.0,1010,2020.0,1,1,1,0,0.0504950495049505,1,994 days 00:00:00,8323 days,1,4,3,2,1,1,9,1,7,C. van Foreest,00416,C. van Foreest,,0.0,1.0,1.0,0.0,0.0,1.0,,,
26,mr. A.S. van Nierop,mr. A.S. van Nierop,A.S. van Nierop,,959.0,47.48%,Alkmaar,1856-06-24,herstemming,2908,2032,2032,2020,8,1.0,1010,2020.0,2,0,0,1,-0.0504950495049505,1,5481 days 00:00:00,10059 days,1,11,8,,,0,5,3,2,A.S. van Nierop,00963,A.S. van Nierop,,0.0,0.0,0.0,0.0,,,,,
27,mr. R.J. graaf van Schimmelpenninck,mr. R.J. graaf van Schimmelpenninck,R.J. graaf van Schimmelpenninck,,606.0,45.87%,Alkmaar,1857-03-17,tussentijds,2908,1331,1331,1321,3,1.0,661,1298.0,1,1,1,0,0.18181818181818182,0,5201 days 00:00:00,12502 days,1,1,1,1,1,0,8,0,8,R.J. graaf Schimmelpenninck van Nijenhuis,01202,R.J. graaf Schimmelpenninck van Nijenhuis,53035.91186180322,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
28,mr. K.A. Poortman,mr. K.A. Poortman,K.A.  Poortman,,370.0,28.01%,Alkmaar,1857-03-17,tussentijds,2908,1331,1331,1321,3,1.0,661,1298.0,2,0,0,1,-0.18181818181818182,0,448 days 00:00:00,4940 days,1,8,8,,,0,6,3,3,K.A.  Poortman,01055,K.A.  Poortman,79593.96605911414,1.0,1.0,,,,,,,
29,mr. L. Metman,mr. L. Metman,L.  Metman,,236.0,17.87%,Alkmaar,1857-03-17,tussentijds,2908,1331,1331,1321,3,1.0,661,1298.0,3,0,0,0,-0.2850539291217257,0,280 days 00:00:00,3710 days,1,18,16,,,0,1,1,0,L.  Metman,00910,L.  Metman,,0.0,0.0,,,,,,,
30,mr. F.A. van Hall,mr. F.A. van Hall,F.A. van Hall,,86.0,6.51%,Alkmaar,1857-03-17,tussentijds,2908,1331,1331,1321,3,1.0,661,1298.0,4,0,0,0,-0.40061633281972264,0,-2394 days +00:00:00,4954 days,1,8,7,,,0,4,3,1,F.A. baron van Hall,00515,F.A. baron van Hall,,0.0,,,,,,,,
31,mr. K.A. Poortman,mr. K.A. Poortman,K.A.  Poortman,,888.0,51.24%,Alkmaar,1857-03-31,herstemming,2908,1743,1744,1733,6,1.0,867,1733.0,1,1,1,0,0.024812463935372186,1,448 days 00:00:00,4940 days,1,9,8,5,4,1,6,3,2,K.A.  Poortman,01055,K.A.  Poortman,79593.96605911414,1.0,1.0,,,,,,,
32,mr. R.J. graaf van Schimmelpenninck,mr. R.J. graaf van Schimmelpenninck,R.J. graaf van Schimmelpenninck,,845.0,48.76%,Alkmaar,1857-03-31,herstemming,2908,1743,1744,1733,6,1.0,867,1733.0,2,0,0,1,-0.024812463935372186,1,5201 days 00:00:00,12502 days,1,2,1,,,0,8,0,8,R.J. graaf Schimmelpenninck van Nijenhuis,01202,R.J. graaf Schimmelpenninck van Nijenhuis,53035.91186180322,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
33,mr. K.A. Poortman,mr. K.A. Poortman,K.A.  Poortman,,700.0,65.06%,Alkmaar,1858-06-08,periodiek,2962,1095,1095,1076,7,1.0,538,1049.0,1,1,1,0,0.36415633937082936,1,448 days 00:00:00,4940 days,1,10,9,6,5,1,6,4,1,K.A.  Poortman,01055,K.A.  Poortman,79593.96605911414,1.0,,,,,,,,
34,mr. W.L.F.C. ridder van Rappard,mr. W.L.F.C. ridder van Rappard,W.L.F.C.  ridder van Rappard,,318.0,29.55%,Alkmaar,1858-06-08,periodiek,2962,1095,1095,1076,7,1.0,538,1049.0,2,0,0,1,-0.36415633937082936,1,-1848 days +00:00:00,8230 days,1,7,6,,,0,2,2,0,W.L.F.Ch. ridder van Rappard,01084,W.L.F.Ch. ridder van Rappard,,0.0,,,,,,,,
35,F. Sieuwerts,,,,31.0,2.88%,Alkmaar,1858-06-08,periodiek,2962,1095,1095,1076,7,1.0,538,1049.0,3,0,0,0,-0.6377502383222117,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
36,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,525.0,48.12%,Alkmaar,1860-06-12,periodiek,2871,1103,1103,1091,5,1.0,546,1077.0,1,1,1,0,0.016713091922005572,0,994 days 00:00:00,8323 days,1,5,4,3,2,0,9,2,7,C. van Foreest,00416,C. van Foreest,,1.0,1.0,0.0,0.0,1.0,,,,
37,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,507.0,46.47%,Alkmaar,1860-06-12,periodiek,2871,1103,1103,1091,5,1.0,546,1077.0,2,0,0,1,-0.016713091922005572,0,-2191 days +00:00:00,13711 days,2,16,12,,,0,13,2,11,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
38,J.L. Kikkert,,,,45.0,4.12%,Alkmaar,1860-06-12,periodiek,2871,1103,1103,1091,5,1.0,546,1077.0,3,0,0,0,-0.4456824512534819,0,728 days 00:00:00,1463 days,1,1,1,,,0,0,0,0,,,,,0.0,0.0,,,,,,,
39,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,862.0,55.79%,Alkmaar,1860-06-26,herstemming,2871,1551,1551,1545,5,1.0,773,1545.0,1,1,1,0,0.11585760517799353,1,994 days 00:00:00,8323 days,1,6,4,4,2,1,9,2,6,C. van Foreest,00416,C. van Foreest,,1.0,1.0,0.0,0.0,1.0,,,,
40,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,683.0,44.21%,Alkmaar,1860-06-26,herstemming,2871,1551,1551,1545,5,1.0,773,1545.0,2,0,0,1,-0.11585760517799353,1,-2191 days +00:00:00,13711 days,2,18,12,,,1,13,2,10,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
41,mr. K.A. Poortman,mr. K.A. Poortman,K.A.  Poortman,,606.0,51.75%,Alkmaar,1862-06-10,periodiek,3138,1176,1176,1171,2,1.0,586,1145.0,1,1,1,0,0.2777292576419214,1,448 days 00:00:00,4940 days,1,11,10,7,6,1,6,5,0,K.A.  Poortman,01055,K.A.  Poortman,79593.96605911414,,,,,,,,,
42,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,288.0,24.59%,Alkmaar,1862-06-10,periodiek,3138,1176,1176,1171,2,1.0,586,1145.0,2,0,0,1,-0.2777292576419214,1,322 days 00:00:00,5706 days,1,6,5,,,0,6,3,3,J.J.  Rochussen,01116,J.J.  Rochussen,,0.0,1.0,,,,,,,
43,J.L. Kikkert,,,,251.0,21.43%,Alkmaar,1862-06-10,periodiek,3138,1176,1176,1171,2,1.0,586,1145.0,3,0,0,0,-0.31004366812227074,1,728 days 00:00:00,1463 days,1,2,2,,,0,0,0,0,,,,,0.0,,,,,,,,
44,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,643.0,52.58%,Alkmaar,1864-06-14,periodiek,2969,1260,1261,1223,7,1.0,612,1160.0,1,1,1,0,0.3396551724137931,1,994 days 00:00:00,8323 days,1,7,5,5,3,1,9,3,5,C. van Foreest,00416,C. van Foreest,,1.0,0.0,0.0,1.0,,,,,
45,mr. M.J. de Lange,mr. M.J. de Lange,M.J. de Lange,,249.0,20.36%,Alkmaar,1864-06-14,periodiek,2969,1260,1261,1223,7,1.0,612,1160.0,2,0,0,1,-0.3396551724137931,1,1820 days 00:00:00,4830 days,1,4,3,,,0,2,0,2,M.J. de Lange,00784,M.J. de Lange,212539.4474970895,1.0,1.0,,,,,,,
46,J.L. Kikkert,,,,188.0,15.37%,Alkmaar,1864-06-14,periodiek,2969,1260,1261,1223,7,1.0,612,1160.0,3,0,0,0,-0.3922413793103448,1,728 days 00:00:00,1463 days,1,3,3,,,0,0,0,0,,,,,,,,,,,,,
47,R.C. Sloos,,,,80.0,6.54%,Alkmaar,1864-06-14,periodiek,2969,1260,1261,1223,7,1.0,612,1160.0,4,0,0,0,-0.4853448275862069,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
48,mr. N. Olivier,mr. N. Olivier,N.  Olivier,,593.0,53.09%,Alkmaar,1866-06-12,periodiek,3036,1126,1126,1117,4,1.0,559,1039.0,1,1,1,0,0.14148219441770934,1,140 days 00:00:00,4683 days,1,8,6,5,4,1,4,2,1,N.  Olivier,01000,N.  Olivier,,0.0,0.0,0.0,,,,,,
49,J.D. van Herwerden,,,,446.0,39.93%,Alkmaar,1866-06-12,periodiek,3036,1126,1126,1117,4,1.0,559,1039.0,2,0,0,1,-0.14148219441770934,1,-1463 days +00:00:00,1463 days,1,2,2,,,0,0,0,0,,,,75296.6509869544,,,,,,,,,
50,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,1387.0,61.67%,Alkmaar,1866-10-30,algemeen,3036,2264,2264,4498,26,2.0,1125,4434.0,1,1,0,0,0.08818222823635544,1,994 days 00:00:00,8323 days,1,8,6,6,4,1,9,4,4,C. van Foreest,00416,C. van Foreest,,0.0,0.0,1.0,,,,,,
51,mr.dr. E.H. s' Jacob,mr.dr. E.H. s' Jacob,E.H. s' Jacob,,1204.0,53.53%,Alkmaar,1866-10-30,algemeen,3036,2264,2264,4498,26,2.0,1125,4434.0,2,1,1,0,0.04691023906179522,1,449 days 00:00:00,3143 days,1,1,1,1,1,1,3,0,2,E.H. s' Jacob,00631,E.H. s' Jacob,593310.2608317393,0.0,0.0,0.0,0.0,,,,,
52,mr. W. van der Kaay,mr. W. van der Kaay,W. van der Kaay,,996.0,44.29%,Alkmaar,1866-10-30,algemeen,3036,2264,2264,4498,26,2.0,1125,4434.0,3,0,0,1,-0.04691023906179522,1,449 days 00:00:00,12645 days,1,1,1,,,0,11,0,11,W. van der Kaay,00666,W. van der Kaay,4222.443110295422,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
53,mr. N. Olivier,mr. N. Olivier,N.  Olivier,,847.0,37.66%,Alkmaar,1866-10-30,algemeen,3036,2264,2264,4498,26,2.0,1125,4434.0,4,0,0,0,-0.08051420838971583,1,140 days 00:00:00,4683 days,1,9,7,,,0,4,3,1,N.  Olivier,01000,N.  Olivier,,0.0,0.0,,,,,,,
54,mr. J.L. de Bruyn Kops,mr. J.L. de Bruyn Kops,J.L. de Bruyn Kops,,1060.0,51.39%,Alkmaar,1868-01-22,algemeen,3232,2073,2073,4125,11,2.0,1031,4086.0,1,1,0,0,0.016152716593245228,1,1238 days 00:00:00,10677 days,3,8,7,2,2,1,8,0,7,J.L. de Bruijn Kops,00232,J.L. de Bruijn Kops,25890.95000500757,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,
55,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,998.0,48.39%,Alkmaar,1868-01-22,algemeen,3232,2073,2073,4125,11,2.0,1031,4086.0,2,1,1,0,0.0009789525208027412,1,994 days 00:00:00,8323 days,1,9,7,7,5,0,9,5,4,C. van Foreest,00416,C. van Foreest,,0.0,1.0,,,,,,,
56,mr. W. van der Kaay,mr. W. van der Kaay,W. van der Kaay,,994.0,48.19%,Alkmaar,1868-01-22,algemeen,3232,2073,2073,4125,11,2.0,1031,4086.0,3,0,0,1,-0.0009789525208027412,1,449 days 00:00:00,12645 days,1,2,2,,,0,11,0,11,W. van der Kaay,00666,W. van der Kaay,4222.443110295422,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
57,mr.dr. E.H. s' Jacob,mr.dr. E.H. s' Jacob,E.H. s' Jacob,,930.0,45.09%,Alkmaar,1868-01-22,algemeen,3232,2073,2073,4125,11,2.0,1031,4086.0,4,0,0,0,-0.016642192853646598,1,449 days 00:00:00,3143 days,1,2,2,,,0,3,1,2,E.H. s' Jacob,00631,E.H. s' Jacob,593310.2608317393,0.0,0.0,0.0,,,,,,
58,mr. N. Olivier,mr. N. Olivier,N.  Olivier,,104.0,5.04%,Alkmaar,1868-01-22,algemeen,3232,2073,2073,4125,11,2.0,1031,4086.0,5,0,0,0,-0.21879588839941264,1,140 days 00:00:00,4683 days,1,10,8,,,0,4,3,1,N.  Olivier,01000,N.  Olivier,,0.0,,,,,,,,
59,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,1444.0,57.85%,Alkmaar,1868-02-04,herstemming,3232,2507,2509,2496,8,1.0,1248,2496.0,1,1,1,0,0.15705128205128205,1,994 days 00:00:00,8323 days,1,10,7,8,5,1,9,5,3,C. van Foreest,00416,C. van Foreest,,0.0,1.0,,,,,,,
60,mr. W. van der Kaay,mr. W. van der Kaay,W. van der Kaay,,1052.0,42.15%,Alkmaar,1868-02-04,herstemming,3232,2507,2509,2496,8,1.0,1248,2496.0,2,0,0,1,-0.15705128205128205,1,449 days 00:00:00,12645 days,1,3,2,,,0,11,0,11,W. van der Kaay,00666,W. van der Kaay,4222.443110295422,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
61,W.J. Knoop,W.J. Knoop,W.J.  Knoop,,1212.0,52.17%,Alkmaar,1869-06-08,periodiek,3051,2333,2333,2323,3,1.0,1162,2318.0,1,1,1,0,0.0457290767903365,1,434 days 00:00:00,6789 days,3,11,11,1,1,1,1,0,0,W.J.  Knoop,00711,W.J.  Knoop,9646.822709343309,0.0,,,,,,,,
62,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,AK/DT/DZH,1106.0,47.61%,Alkmaar,1869-06-08,periodiek,3051,2333,2333,2323,3,1.0,1162,2318.0,2,0,0,1,-0.0457290767903365,1,994 days 00:00:00,8323 days,1,11,8,,,0,9,6,3,C. van Foreest,00416,C. van Foreest,,1.0,,,,,,,,
63,W.J. Knoop,W.J. Knoop,W.J.  Knoop,,878.0,49.89%,Alkmaar,1870-08-16,tussentijds,3154,1771,1771,1760,6,1.0,880,1756.0,1,1,1,0,0.0,0,434 days 00:00:00,6789 days,1,12,12,2,2,0,1,1,0,W.J.  Knoop,00711,W.J.  Knoop,9646.822709343309,0.0,,,,,,,,
64,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,878.0,49.89%,Alkmaar,1870-08-16,tussentijds,3154,1771,1771,1760,6,1.0,880,1756.0,2,0,0,1,0.0,0,994 days 00:00:00,8323 days,1,12,9,,,0,9,6,3,C. van Foreest,00416,C. van Foreest,,1.0,,,,,,,,
65,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,1191.0,51.05%,Alkmaar,1870-08-30,herstemming,3154,2344,2345,2333,7,1.0,1167,2331.0,1,1,1,0,0.021879021879021878,1,994 days 00:00:00,8323 days,1,13,9,9,5,1,9,6,2,C. van Foreest,00416,C. van Foreest,,1.0,,,,,,,,
66,W.J. Knoop,W.J. Knoop,W.J.  Knoop,,1140.0,48.86%,Alkmaar,1870-08-30,herstemming,3154,2344,2345,2333,7,1.0,1167,2331.0,2,0,0,1,-0.021879021879021878,1,434 days 00:00:00,6789 days,1,13,12,,,0,1,1,0,W.J.  Knoop,00711,W.J.  Knoop,9646.822709343309,0.0,,,,,,,,
67,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,1083.0,53.85%,Alkmaar,1870-10-25,tussentijds,3154,2020,2020,2011,7,1.0,1006,1997.0,1,1,1,0,0.08462694041061593,1,994 days 00:00:00,8323 days,1,14,10,10,6,1,9,7,1,C. van Foreest,00416,C. van Foreest,,1.0,,,,,,,,
68,jhr.mr. H.G.C.L. Janssens,,,,914.0,45.45%,Alkmaar,1870-10-25,tussentijds,3154,2020,2020,2011,7,1.0,1006,1997.0,2,0,0,1,-0.08462694041061593,1,-3787 days +00:00:00,3787 days,1,3,2,,,0,0,0,0,,,,1361019.99956953,,,,,,,,,
69,mr. J.L. de Bruyn Kops,mr. J.L. de Bruyn Kops,J.L. de Bruyn Kops,(AH)*,1254.0,55.81%,Alkmaar,1871-06-13,periodiek,3215,2256,2256,2247,6,1.0,1124,2232.0,1,1,1,0,0.12365591397849462,1,1238 days 00:00:00,10677 days,1,11,8,3,3,1,8,1,6,J.L. de Bruijn Kops,00232,J.L. de Bruijn Kops,25890.95000500757,1.0,1.0,1.0,0.0,1.0,1.0,,,
