,Unnamed: 0,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,Opkomst,margin
53,53,mr. U.A. Everts,,29.0,4.03%,Franeker,19/12/1848,vacature,1158,725,719.0,3,1.0,360,693.0,-0.4329004329004329
54,54,mr. J. Dirks,,393.0,56.96%,Franeker,29/12/1848,herstemming,1158,696,690.0,3,1.0,345,690.0,0.1391304347826087
55,55,mr. A.F. Jongstra,,297.0,43.04%,Franeker,29/12/1848,herstemming,1158,696,690.0,3,1.0,345,690.0,-0.1391304347826087
56,56,mr. J.T. Homan,,245.0,29.59%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,0.08719346049046321
57,57,mr. L. graaf van Heiden Reinestein,,181.0,21.86%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.08719346049046321
58,58,mr. P. van der Veen,,114.0,13.77%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.1784741144414169
59,59,mr. G. Kniphorst,,47.0,5.68%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.26975476839237056
60,60,mr. L. Oldenhuis Gratama,,39.0,4.71%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.28065395095367845
61,61,mr. P.W.A. Grevelink,,32.0,3.86%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.2901907356948229
62,62,mr. J. Tonckens,,32.0,3.86%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.2901907356948229
63,63,mr. C. Hiddingh,,29.0,3.50%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.29427792915531337
64,64,jhr.mr. H.J.L. van der Wijck,,15.0,1.81%,Assen,30/11/1848,algemeen,973,835,828.0,3,1.0,414,734.0,-0.3133514986376022
65,65,mr. J.T. Homan,,410.0,50.43%,Assen,07/12/1848,herstemming,973,820,813.0,6,1.0,407,813.0,0.008610086100861008
66,66,mr. L. graaf van Heiden Reinestein,,403.0,49.57%,Assen,07/12/1848,herstemming,973,820,813.0,6,1.0,407,813.0,-0.008610086100861008
67,67,mr. L. graaf van Heiden Reinestein,,263.0,39.02%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,0.25691056910569104
68,68,mr. P. van der Veen,,105.0,15.58%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.25691056910569104
69,69,mr. Æ. baron van Mackay,,59.0,8.75%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.33170731707317075
70,70,mr. G. Kniphorst,,53.0,7.86%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.34146341463414637
71,71,mr. P.W.A. Grevelink,,35.0,5.19%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.37073170731707317
72,72,mr. W. Tonckens,,33.0,4.90%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.37398373983739835
73,73,mr. H.J. Kymmell,,23.0,3.41%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.3902439024390244
74,74,J.A. Meursing,,17.0,2.52%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.4
75,75,mr. L. Metman,,17.0,2.52%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.4
76,76,mr. C. Hiddingh,,10.0,1.48%,Assen,26/12/1848,tussentijds,973,678,674.0,2,1.0,337,615.0,-0.4113821138211382
77,77,mr. L. graaf van Heiden Reinestein,,416.0,66.24%,Assen,04/01/1849,herstemming,973,638,628.0,10,1.0,314,628.0,0.3248407643312102
78,78,mr. P. van der Veen,,212.0,33.76%,Assen,04/01/1849,herstemming,973,638,628.0,10,1.0,314,628.0,-0.3248407643312102
79,79,mr. L.N. graaf van Randwijck,,316.0,41.20%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,0.1681159420289855
80,80,dr. M. Dassen,,200.0,26.08%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,-0.1681159420289855
81,81,mr. P.W.A. Grevelink,,70.0,9.13%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,-0.3565217391304348
82,82,A. van der Vlies,,37.0,4.82%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,-0.4043478260869565
83,83,jhr.mr. H.J.L. van der Wijck,,28.0,3.65%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,-0.41739130434782606
84,84,mr. L. Kniphorst,,14.0,1.83%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,-0.43768115942028984
85,85,mr. H.J. Kymmell,,13.0,1.69%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,-0.4391304347826087
86,86,mr. G. Groen van Prinsterer,,12.0,1.56%,Hoogeveen,30/11/1848,algemeen,940,771,767.0,4,1.0,384,690.0,-0.4405797101449275
87,87,dr. M. Dassen,,376.0,50.20%,Hoogeveen,07/12/1848,herstemming,940,758,749.0,7,1.0,375,749.0,0.004005340453938585
88,88,mr. L.N. graaf van Randwijck,,373.0,49.80%,Hoogeveen,07/12/1848,herstemming,940,758,749.0,7,1.0,375,749.0,-0.004005340453938585
89,89,G. de Serière,,244.0,39.80%,Hoogeveen,26/12/1848,tussentijds,940,621,613.0,8,1.0,307,581.0,0.03098106712564544
90,90,mr. L.N. graaf van Randwijck,,226.0,36.87%,Hoogeveen,26/12/1848,tussentijds,940,621,613.0,8,1.0,307,581.0,-0.03098106712564544
91,91,A. van der Vlies,,61.0,9.95%,Hoogeveen,26/12/1848,tussentijds,940,621,613.0,8,1.0,307,581.0,-0.31497418244406195
92,92,dr. B. Verver,,36.0,5.87%,Hoogeveen,26/12/1848,tussentijds,940,621,613.0,8,1.0,307,581.0,-0.35800344234079173
93,93,mr. P.W.A. Grevelink,,14.0,2.28%,Hoogeveen,26/12/1848,tussentijds,940,621,613.0,8,1.0,307,581.0,-0.3958691910499139
94,94,mr. L.N. graaf van Randwijck,,409.0,61.23%,Hoogeveen,04/01/1849,herstemming,940,688,668.0,18,1.0,334,668.0,0.2245508982035928
95,95,G. de Serière,,259.0,38.77%,Hoogeveen,04/01/1849,herstemming,940,688,668.0,18,1.0,334,668.0,-0.2245508982035928
96,96,mr. B.W.A.E. baron van Sloet tot Oldhuis,,600.0,88.11%,Zwolle,30/11/1848,algemeen,834,681,681.0,0,1.0,341,658.0,0.837386018237082
97,97,J. Zeehuizen,,49.0,7.20%,Zwolle,30/11/1848,algemeen,834,681,681.0,0,1.0,341,658.0,-0.837386018237082
98,98,mr. P.M. van Goens,,9.0,1.32%,Zwolle,30/11/1848,algemeen,834,681,681.0,0,1.0,341,658.0,-0.898176291793313
99,99,mr. A.J. Duymaer van Twist,,388.0,70.67%,Kampen,30/11/1848,algemeen,671,561,549.0,6,1.0,275,525.0,0.5257142857142857
100,100,mr. J.C. Bijsterbos,,112.0,20.40%,Kampen,30/11/1848,algemeen,671,561,549.0,6,1.0,275,525.0,-0.5257142857142857
101,101,J.A. Duymaer van Twist,,9.0,1.64%,Kampen,30/11/1848,algemeen,671,561,549.0,6,1.0,275,525.0,-0.7219047619047619
102,102,mr. H. Jacobson,,9.0,1.64%,Kampen,30/11/1848,algemeen,671,561,549.0,6,1.0,275,525.0,-0.7219047619047619
103,103,mr. J. Cornelissen,,7.0,1.27%,Kampen,30/11/1848,algemeen,671,561,549.0,6,1.0,275,525.0,-0.7257142857142858
104,104,jhr. C.M. Storm van 's Gravesande,,397.0,53.65%,Deventer,30/11/1848,algemeen,849,742,740.0,1,1.0,370,727.0,0.24621733149931224
105,105,mr. J.R. Thorbecke,,218.0,29.46%,Deventer,30/11/1848,algemeen,849,742,740.0,1,1.0,370,727.0,-0.24621733149931224
106,106,mr. A.J. Duymaer van Twist,,112.0,15.14%,Deventer,30/11/1848,algemeen,849,742,740.0,1,1.0,370,727.0,-0.3920220082530949
107,107,mr. H. Jacobson,,337.0,65.44%,Almelo,30/11/1848,algemeen,547,515,515.0,0,1.0,258,509.0,0.3241650294695481
108,108,mr. J.R. Thorbecke,,172.0,33.40%,Almelo,30/11/1848,algemeen,547,515,515.0,0,1.0,258,509.0,-0.3241650294695481
109,109,mr. J. van Riemsdijk,,199.0,41.89%,Almelo,21/12/1848,tussentijds,547,476,475.0,1,1.0,238,460.0,0.1
110,110,mr. D. Donker Curtius,,153.0,32.21%,Almelo,21/12/1848,tussentijds,547,476,475.0,1,1.0,238,460.0,-0.1
111,111,B.P.G. van Diggelen,,108.0,22.74%,Almelo,21/12/1848,tussentijds,547,476,475.0,1,1.0,238,460.0,-0.19782608695652174
112,112,mr. D. Donker Curtius,,267.0,55.63%,Almelo,02/01/1849,herstemming,547,481,480.0,1,1.0,240,480.0,0.1125
113,113,mr. J. van Riemsdijk,,213.0,44.38%,Almelo,02/01/1849,herstemming,547,481,480.0,1,1.0,240,480.0,-0.1125
114,114,jhr. C.M. Storm van 's Gravesande,,261.0,53.81%,Enschede,30/11/1848,algemeen,532,487,485.0,1,1.0,243,476.0,0.09663865546218488
115,115,mr. H. van Sonsbeeck,,215.0,44.33%,Enschede,30/11/1848,algemeen,532,487,485.0,1,1.0,243,476.0,-0.09663865546218488
116,116,mr. M.J. de Man,,257.0,52.66%,Enschede,16/12/1848,tussentijds,532,488,488.0,0,1.0,244,479.0,0.14822546972860126
117,117,mr. H. van Sonsbeeck,,186.0,38.11%,Enschede,16/12/1848,tussentijds,532,488,488.0,0,1.0,244,479.0,-0.14822546972860126
118,118,mr. B.W. Blijdenstein,,36.0,7.38%,Enschede,16/12/1848,tussentijds,532,488,488.0,0,1.0,244,479.0,-0.4613778705636743
119,119,mr. J.T.H. Nedermeyer ridder van Rosenthal,,432.0,52.43%,Arnhem,30/11/1848,algemeen,949,851,824.0,2,1.0,412,794.0,0.12846347607052896
120,120,mr. W.H. Dullert,,330.0,40.05%,Arnhem,30/11/1848,algemeen,949,851,824.0,2,1.0,412,794.0,-0.12846347607052896
121,121,J. Backer,,16.0,1.94%,Arnhem,30/11/1848,algemeen,949,851,824.0,2,1.0,412,794.0,-0.5239294710327456
122,122,mr. J. van 's Gravenweert,,16.0,1.94%,Arnhem,30/11/1848,algemeen,949,851,824.0,2,1.0,412,794.0,-0.5239294710327456
123,123,mr. G. Groen van Prinsterer,,262.0,48.07%,Harderwijk,22/12/1848,tussentijds,680,554,545.0,5,1.0,273,540.0,0.012962962962962963
124,124,mr. M.J. de Man,,255.0,46.79%,Harderwijk,22/12/1848,tussentijds,680,554,545.0,5,1.0,273,540.0,-0.012962962962962963
125,125,E.B. van den Bosch,,12.0,2.20%,Harderwijk,22/12/1848,tussentijds,680,554,545.0,5,1.0,273,540.0,-0.46296296296296297
126,126,mr. C.L. Vitringa,,11.0,2.02%,Harderwijk,22/12/1848,tussentijds,680,554,545.0,5,1.0,273,540.0,-0.4648148148148148
127,127,mr. G. Groen van Prinsterer,,332.0,60.58%,Harderwijk,05/01/1849,herstemming,680,550,548.0,2,1.0,274,548.0,0.2116788321167883
128,128,mr. M.J. de Man,,216.0,39.42%,Harderwijk,05/01/1849,herstemming,680,550,548.0,2,1.0,274,548.0,-0.2116788321167883
129,129,mr. J.R. Thorbecke,,342.0,48.51%,Zutphen,30/11/1848,algemeen,791,708,705.0,3,1.0,353,700.0,0.13714285714285715
130,130,mr. R.W. Tadema,,246.0,34.89%,Zutphen,30/11/1848,algemeen,791,708,705.0,3,1.0,353,700.0,-0.13714285714285715
131,131,E. van Löben-Sels,,98.0,13.90%,Zutphen,30/11/1848,algemeen,791,708,705.0,3,1.0,353,700.0,-0.3485714285714286
132,132,mr. J.P.P. baron van Zuylen van Nijevelt,,14.0,1.99%,Zutphen,30/11/1848,algemeen,791,708,705.0,3,1.0,353,700.0,-0.4685714285714286
133,133,mr. J.R. Thorbecke,,450.0,64.56%,Zutphen,13/12/1848,herstemming,791,702,697.0,5,1.0,349,697.0,0.29124820659971307
134,134,mr. R.W. Tadema,,247.0,35.44%,Zutphen,13/12/1848,herstemming,791,702,697.0,5,1.0,349,697.0,-0.29124820659971307
135,135,jhr. J.A.C.A. van Nispen van Sevenaer,,289.0,50.17%,Doetinchem,13/12/1848,herstemming,615,587,576.0,11,1.0,288,576.0,0.003472222222222222
136,136,mr. J.T.H. Nedermeyer ridder van Rosenthal,,287.0,49.83%,Doetinchem,13/12/1848,herstemming,615,587,576.0,11,1.0,288,576.0,-0.003472222222222222
137,137,mr. A.W. Engelen,,478.0,57.38%,Elst,30/11/1848,algemeen,913,835,833.0,1,1.0,417,819.0,0.23809523809523808
138,138,mr. M.J. de Man,,283.0,33.97%,Elst,30/11/1848,algemeen,913,835,833.0,1,1.0,417,819.0,-0.23809523809523808
139,139,mr. W. baron van Lynden,,31.0,3.72%,Elst,30/11/1848,algemeen,913,835,833.0,1,1.0,417,819.0,-0.5457875457875457
140,140,van Voorst,,27.0,3.24%,Elst,30/11/1848,algemeen,913,835,833.0,1,1.0,417,819.0,-0.5506715506715507
141,141,mr. J.K. baron van Goltstein,,532.0,96.20%,Utrecht,30/11/1848,algemeen,651,554,553.0,1,1.0,277,532.0,999.0
142,142,mr. S. van Walchren,,314.0,43.49%,Amersfoort,30/11/1848,algemeen,795,725,722.0,3,1.0,361,705.0,0.0070921985815602835
143,143,J.D.C.C.W. baron van Ablaing van Giessenburg,,309.0,42.80%,Amersfoort,30/11/1848,algemeen,795,725,722.0,3,1.0,361,705.0,-0.0070921985815602835
144,144,dr. H. Menso,,70.0,9.70%,Amersfoort,30/11/1848,algemeen,795,725,722.0,3,1.0,361,705.0,-0.34609929078014184
145,145,mr. J. Hora Siccama,,12.0,1.66%,Amersfoort,30/11/1848,algemeen,795,725,722.0,3,1.0,361,705.0,-0.42836879432624114
146,146,mr. S. van Walchren,,408.0,59.48%,Amersfoort,07/12/1848,herstemming,795,690,686.0,2,1.0,343,686.0,0.18950437317784258
147,147,J.D.C.C.W. baron van Ablaing van Giessenburg,,278.0,40.52%,Amersfoort,07/12/1848,herstemming,795,690,686.0,2,1.0,343,686.0,-0.18950437317784258
148,148,E.C.U. van Doorn,,396.0,37.04%,Ysselstein,30/11/1848,algemeen,1174,1071,1069.0,2,1.0,535,1047.0,0.010506208213944603
149,149,J.G. Dolmans,,385.0,36.02%,Ysselstein,30/11/1848,algemeen,1174,1071,1069.0,2,1.0,535,1047.0,-0.010506208213944603
150,150,mr. W.L.F.C. ridder van Rappard,,266.0,24.88%,Ysselstein,30/11/1848,algemeen,1174,1071,1069.0,2,1.0,535,1047.0,-0.12416427889207259
151,151,E.C.U. van Doorn,,618.0,60.95%,Ysselstein,07/12/1848,herstemming,1174,1016,1014.0,0,1.0,507,1011.0,0.22255192878338279
152,152,J.G. Dolmans,,393.0,38.76%,Ysselstein,07/12/1848,herstemming,1174,1016,1014.0,0,1.0,507,1011.0,-0.22255192878338279
153,153,J.A. de Fremery,,210.0,50.48%,Leiden,14/12/1849,herstemming,468,421,416.0,5,1.0,208,416.0,0.009615384615384616
154,154,mr. J.M. de Kempenaer,,206.0,49.52%,Leiden,14/12/1849,herstemming,468,421,416.0,5,1.0,208,416.0,-0.009615384615384616
155,155,mr. J.R. Thorbecke,,348.0,42.86%,Leiderdorp,30/11/1848,algemeen,999,814,812.0,0,1.0,406,787.0,0.17407878017789072
156,156,mr. G.W. Verweij Mejan,,211.0,25.99%,Leiderdorp,30/11/1848,algemeen,999,814,812.0,0,1.0,406,787.0,-0.17407878017789072
157,157,jhr.mr. D.T. Gevers van Endegeest,,151.0,18.60%,Leiderdorp,30/11/1848,algemeen,999,814,812.0,0,1.0,406,787.0,-0.2503176620076239
158,158,S. Piek,,65.0,8.00%,Leiderdorp,30/11/1848,algemeen,999,814,812.0,0,1.0,406,787.0,-0.3595933926302414
159,159,F.W. Conrad,,12.0,1.48%,Leiderdorp,30/11/1848,algemeen,999,814,812.0,0,1.0,406,787.0,-0.4269377382465057
160,160,mr. G.W. Verweij Mejan,,520.0,71.63%,Leiderdorp,12/12/1848,herstemming,999,745,726.0,12,1.0,363,726.0,0.4325068870523416
161,161,mr. J.R. Thorbecke,,206.0,28.37%,Leiderdorp,12/12/1848,herstemming,999,745,726.0,12,1.0,363,726.0,-0.4325068870523416
162,162,mr. G.M. van der Linden,,131.0,20.63%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,0.026446280991735537
163,163,mr. J.R. Thorbecke,,115.0,18.11%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,-0.026446280991735537
164,164,mr. Æ. baron van Mackay,,109.0,17.17%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,-0.03636363636363636
165,165,A. van Rijckevorsel Hz.,,97.0,15.28%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,-0.05619834710743802
166,166,mr. D. Donker Curtius,,87.0,13.70%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,-0.07272727272727272
167,167,mr. L. Luzac,,33.0,5.20%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,-0.16198347107438016
168,168,mr. J.S. van Naamen,,22.0,3.46%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,-0.18016528925619835
169,169,jhr.mr. W.T. Gevers Deynoot,,11.0,1.73%,Gouda,30/11/1848,algemeen,818,644,635.0,1,1.0,318,605.0,-0.19834710743801653
170,170,mr. G.M. van der Linden,,315.0,56.86%,Gouda,14/12/1848,herstemming,818,563,554.0,2,1.0,277,554.0,0.1371841155234657
171,171,mr. J.R. Thorbecke,,239.0,43.14%,Gouda,14/12/1848,herstemming,818,563,554.0,2,1.0,277,554.0,-0.1371841155234657
172,172,mr. A. Boxman,,690.0,78.50%,Gorinchem,30/11/1848,algemeen,1083,885,879.0,4,1.0,440,851.0,0.6745005875440658
173,173,mr. P.L. Begram van Jaarsveld,,116.0,13.20%,Gorinchem,30/11/1848,algemeen,1083,885,879.0,4,1.0,440,851.0,-0.6745005875440658
174,174,mr. J.S. Lotsy,,19.0,2.16%,Gorinchem,30/11/1848,algemeen,1083,885,879.0,4,1.0,440,851.0,-0.7884841363102233
175,175,mr. G.M. van der Linden,,14.0,1.59%,Gorinchem,30/11/1848,algemeen,1083,885,879.0,4,1.0,440,851.0,-0.7943595769682726
176,176,mr. Æ. baron van Mackay,,12.0,1.37%,Gorinchem,30/11/1848,algemeen,1083,885,879.0,4,1.0,440,851.0,-0.7967097532314924
177,177,mr. J.R. Thorbecke,,259.0,45.44%,Dordrecht,30/11/1848,algemeen,707,574,570.0,2,1.0,285,554.0,0.09927797833935018
178,178,mr. J.S. Lotsy,,204.0,35.79%,Dordrecht,30/11/1848,algemeen,707,574,570.0,2,1.0,285,554.0,-0.09927797833935018
179,179,mr. P. Blussé van Oud-Alblas,,54.0,9.47%,Dordrecht,30/11/1848,algemeen,707,574,570.0,2,1.0,285,554.0,-0.3700361010830325
180,180,mr. J. Crans,,20.0,3.51%,Dordrecht,30/11/1848,algemeen,707,574,570.0,2,1.0,285,554.0,-0.4314079422382672
181,181,jhr.mr. J. de Bosch Kemper,,9.0,1.58%,Dordrecht,30/11/1848,algemeen,707,574,570.0,2,1.0,285,554.0,-0.45126353790613716
