,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel
96,mr. B.W.A.E. baron van Sloet tot Oldhuis,,600,88.11%,Zwolle,30/11/1848,algemeen,834,681,681,681,0,1,341
97,J. Zeehuizen,,49,7.20%,Zwolle,30/11/1848,algemeen,834,681,681,681,0,1,341
98,mr. P.M. van Goens,,9,1.32%,Zwolle,30/11/1848,algemeen,834,681,681,681,0,1,341
99,mr. A.J. Duymaer van Twist,,388,70.67%,Kampen,30/11/1848,algemeen,671,560,561,549,6,1,275
100,mr. J.C. Bijsterbos,,112,20.40%,Kampen,30/11/1848,algemeen,671,560,561,549,6,1,275
101,J.A. Duymaer van Twist,,9,1.64%,Kampen,30/11/1848,algemeen,671,560,561,549,6,1,275
102,mr. H. Jacobson,,9,1.64%,Kampen,30/11/1848,algemeen,671,560,561,549,6,1,275
103,mr. J. Cornelissen,,7,1.27%,Kampen,30/11/1848,algemeen,671,560,561,549,6,1,275
104,jhr. C.M. Storm van 's Gravesande,,397,53.65%,Deventer,30/11/1848,algemeen,849,741,742,740,1,1,370
105,mr. J.R. Thorbecke,,218,29.46%,Deventer,30/11/1848,algemeen,849,741,742,740,1,1,370
106,mr. A.J. Duymaer van Twist,,112,15.14%,Deventer,30/11/1848,algemeen,849,741,742,740,1,1,370
107,mr. H. Jacobson,,337,65.44%,Almelo,30/11/1848,algemeen,547,516,515,515,0,1,258
108,mr. J.R. Thorbecke,,172,33.40%,Almelo,30/11/1848,algemeen,547,516,515,515,0,1,258
109,mr. J. van Riemsdijk,,199,41.89%,Almelo,21/12/1848,tussentijds,547,476,476,475,1,1,238
110,mr. D. Donker Curtius,,153,32.21%,Almelo,21/12/1848,tussentijds,547,476,476,475,1,1,238
111,B.P.G. van Diggelen,,108,22.74%,Almelo,21/12/1848,tussentijds,547,476,476,475,1,1,238
112,mr. D. Donker Curtius,,267,55.63%,Almelo,02/01/1849,herstemming,547,480,481,480,1,1,240
113,mr. J. van Riemsdijk,,213,44.38%,Almelo,02/01/1849,herstemming,547,480,481,480,1,1,240
114,jhr. C.M. Storm van 's Gravesande,,261,53.81%,Enschede,30/11/1848,algemeen,532,486,487,485,1,1,243
115,mr. H. van Sonsbeeck,,215,44.33%,Enschede,30/11/1848,algemeen,532,486,487,485,1,1,243
116,mr. M.J. de Man,,257,52.66%,Enschede,16/12/1848,tussentijds,532,488,488,488,0,1,244
117,mr. H. van Sonsbeeck,,186,38.11%,Enschede,16/12/1848,tussentijds,532,488,488,488,0,1,244
118,mr. B.W. Blijdenstein,,36,7.38%,Enschede,16/12/1848,tussentijds,532,488,488,488,0,1,244
119,mr. J.T.H. Nedermeyer ridder van Rosenthal,,432,52.43%,Arnhem,30/11/1848,algemeen,949,851,851,824,2,1,412
120,mr. W.H. Dullert,,330,40.05%,Arnhem,30/11/1848,algemeen,949,851,851,824,2,1,412
121,J. Backer,,16,1.94%,Arnhem,30/11/1848,algemeen,949,851,851,824,2,1,412
122,mr. J. van 's Gravenweert,,16,1.94%,Arnhem,30/11/1848,algemeen,949,851,851,824,2,1,412
123,mr. G. Groen van Prinsterer,,262,48.07%,Harderwijk,22/12/1848,tussentijds,680,554,554,545,5,1,273
124,mr. M.J. de Man,,255,46.79%,Harderwijk,22/12/1848,tussentijds,680,554,554,545,5,1,273
125,E.B. van den Bosch,,12,2.20%,Harderwijk,22/12/1848,tussentijds,680,554,554,545,5,1,273
126,mr. C.L. Vitringa,,11,2.02%,Harderwijk,22/12/1848,tussentijds,680,554,554,545,5,1,273
127,mr. G. Groen van Prinsterer,,332,60.58%,Harderwijk,05/01/1849,herstemming,680,550,550,548,2,1,274
128,mr. M.J. de Man,,216,39.42%,Harderwijk,05/01/1849,herstemming,680,550,550,548,2,1,274
129,mr. J.R. Thorbecke,,342,48.51%,Zutphen,30/11/1848,algemeen,791,708,708,705,3,1,353
130,mr. R.W. Tadema,,246,34.89%,Zutphen,30/11/1848,algemeen,791,708,708,705,3,1,353
131,E. van LÃ¶ben-Sels,,98,13.90%,Zutphen,30/11/1848,algemeen,791,708,708,705,3,1,353
132,mr. J.P.P. baron van Zuylen van Nijevelt,,14,1.99%,Zutphen,30/11/1848,algemeen,791,708,708,705,3,1,353
133,mr. J.R. Thorbecke,,450,64.56%,Zutphen,13/12/1848,herstemming,791,702,702,697,5,1,349
134,mr. R.W. Tadema,,247,35.44%,Zutphen,13/12/1848,herstemming,791,702,702,697,5,1,349
135,jhr. J.A.C.A. van Nispen van Sevenaer,,289,50.17%,Doetinchem,13/12/1848,herstemming,615,587,587,576,11,1,288
136,mr. J.T.H. Nedermeyer ridder van Rosenthal,,287,49.83%,Doetinchem,13/12/1848,herstemming,615,587,587,576,11,1,288
137,mr. A.W. Engelen,,478,57.38%,Elst,30/11/1848,algemeen,913,835,835,833,1,1,417
138,mr. M.J. de Man,,283,33.97%,Elst,30/11/1848,algemeen,913,835,835,833,1,1,417
139,mr. W. baron van Lynden,,31,3.72%,Elst,30/11/1848,algemeen,913,835,835,833,1,1,417
140,van Voorst,,27,3.24%,Elst,30/11/1848,algemeen,913,835,835,833,1,1,417
141,mr. J.K. baron van Goltstein,,532,96.20%,Utrecht,30/11/1848,algemeen,651,554,554,553,1,1,277
142,mr. S. van Walchren,,314,43.49%,Amersfoort,30/11/1848,algemeen,795,725,725,722,3,1,361
143,J.D.C.C.W. baron van Ablaing van Giessenburg,,309,42.80%,Amersfoort,30/11/1848,algemeen,795,725,725,722,3,1,361
144,dr. H. Menso,,70,9.70%,Amersfoort,30/11/1848,algemeen,795,725,725,722,3,1,361
145,mr. J. Hora Siccama,,12,1.66%,Amersfoort,30/11/1848,algemeen,795,725,725,722,3,1,361
146,mr. S. van Walchren,,408,59.48%,Amersfoort,07/12/1848,herstemming,795,690,690,686,2,1,343
147,J.D.C.C.W. baron van Ablaing van Giessenburg,,278,40.52%,Amersfoort,07/12/1848,herstemming,795,690,690,686,2,1,343
148,E.C.U. van Doorn,,396,37.04%,Ysselstein,30/11/1848,algemeen,1174,1071,1071,1069,2,1,535
149,J.G. Dolmans,,385,36.02%,Ysselstein,30/11/1848,algemeen,1174,1071,1071,1069,2,1,535
150,mr. W.L.F.C. ridder van Rappard,,266,24.88%,Ysselstein,30/11/1848,algemeen,1174,1071,1071,1069,2,1,535
151,E.C.U. van Doorn,,618,60.95%,Ysselstein,07/12/1848,herstemming,1174,1016,1016,1014,0,1,507
152,J.G. Dolmans,,393,38.76%,Ysselstein,07/12/1848,herstemming,1174,1016,1016,1014,0,1,507
153,J.A. de Fremery,,210,50.48%,Leiden,14/12/1849,herstemming,468,421,421,416,5,1,208
154,mr. J.M. de Kempenaer,,206,49.52%,Leiden,14/12/1849,herstemming,468,421,421,416,5,1,208
155,mr. J.R. Thorbecke,,348,42.86%,Leiderdorp,30/11/1848,algemeen,999,814,814,812,0,1,406
156,mr. G.W. Verweij Mejan,,211,25.99%,Leiderdorp,30/11/1848,algemeen,999,814,814,812,0,1,406
157,jhr.mr. D.T. Gevers van Endegeest,,151,18.60%,Leiderdorp,30/11/1848,algemeen,999,814,814,812,0,1,406
158,S. Piek,,65,8.00%,Leiderdorp,30/11/1848,algemeen,999,814,814,812,0,1,406
159,F.W. Conrad,,12,1.48%,Leiderdorp,30/11/1848,algemeen,999,814,814,812,0,1,406
160,mr. G.W. Verweij Mejan,,520,71.63%,Leiderdorp,12/12/1848,herstemming,999,745,745,726,12,1,363
161,mr. J.R. Thorbecke,,206,28.37%,Leiderdorp,12/12/1848,herstemming,999,745,745,726,12,1,363
162,mr. G.M. van der Linden,,131,20.63%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
163,mr. J.R. Thorbecke,,115,18.11%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
164,mr. Ã. baron van Mackay,,109,17.17%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
165,A. van Rijckevorsel Hz.,,97,15.28%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
166,mr. D. Donker Curtius,,87,13.70%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
167,mr. L. Luzac,,33,5.20%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
168,mr. J.S. van Naamen,,22,3.46%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
169,jhr.mr. W.T. Gevers Deynoot,,11,1.73%,Gouda,30/11/1848,algemeen,818,644,644,635,1,1,318
170,mr. G.M. van der Linden,,315,56.86%,Gouda,14/12/1848,herstemming,818,563,563,554,2,1,277
171,mr. J.R. Thorbecke,,239,43.14%,Gouda,14/12/1848,herstemming,818,563,563,554,2,1,277
172,mr. A. Boxman,,690,78.50%,Gorinchem,30/11/1848,algemeen,1083,885,885,879,4,1,440
173,mr. P.L. Begram van Jaarsveld,,116,13.20%,Gorinchem,30/11/1848,algemeen,1083,885,885,879,4,1,440
174,mr. J.S. Lotsy,,19,2.16%,Gorinchem,30/11/1848,algemeen,1083,885,885,879,4,1,440
175,mr. G.M. van der Linden,,14,1.59%,Gorinchem,30/11/1848,algemeen,1083,885,885,879,4,1,440
176,mr. Ã. baron van Mackay,,12,1.37%,Gorinchem,30/11/1848,algemeen,1083,885,885,879,4,1,440
177,mr. J.R. Thorbecke,,259,45.44%,Dordrecht,30/11/1848,algemeen,707,574,574,570,2,1,285
178,mr. J.S. Lotsy,,204,35.79%,Dordrecht,30/11/1848,algemeen,707,574,574,570,2,1,285
179,mr. P. BlussÃ© van Oud-Alblas,,54,9.47%,Dordrecht,30/11/1848,algemeen,707,574,574,570,2,1,285
180,mr. J. Crans,,20,3.51%,Dordrecht,30/11/1848,algemeen,707,574,574,570,2,1,285
181,jhr.mr. J. de Bosch Kemper,,9,1.58%,Dordrecht,30/11/1848,algemeen,707,574,574,570,2,1,285
182,mr. J.C. Faber van Riemsdijk,,8,1.40%,Dordrecht,30/11/1848,algemeen,707,574,574,570,2,1,285
183,mr. H.A.A. van Berckel,,300,39.53%,Delft,30/11/1848,algemeen,826,760,760,759,0,1,380
184,mr. W. Wintgens,,259,34.12%,Delft,30/11/1848,algemeen,826,760,760,759,0,1,380
185,C. Hoekwater,,131,17.26%,Delft,30/11/1848,algemeen,826,760,760,759,0,1,380
186,D. van Koetsveld,,38,5.01%,Delft,30/11/1848,algemeen,826,760,760,759,0,1,380
187,mr. R.J.C. Metelerkamp,,16,2.11%,Delft,30/11/1848,algemeen,826,760,760,759,0,1,380
188,mr. W. Wintgens,,419,54.63%,Delft,14/12/1848,herstemming,826,769,769,767,1,1,384
189,mr. H.A.A. van Berckel,,348,45.37%,Delft,14/12/1848,herstemming,826,769,769,767,1,1,384
190,E.P. de Monchy,,166,55.15%,Rotterdam I,30/11/1848,algemeen,354,304,304,301,1,1,151
191,J.H.C. van der Kun,,73,24.25%,Rotterdam I,30/11/1848,algemeen,354,304,304,301,1,1,151
192,M.A.F.H. Hoffman,,28,9.30%,Rotterdam I,30/11/1848,algemeen,354,304,304,301,1,1,151
193,A. van Rijckevorsel Hz.,,12,3.99%,Rotterdam I,30/11/1848,algemeen,354,304,304,301,1,1,151
194,jhr.mr. W.T. Gevers Deynoot,,12,3.99%,Rotterdam I,30/11/1848,algemeen,354,304,304,301,1,1,151
195,A. van Rijckevorsel Hz.,,195,65.00%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
196,M.A.F.H. Hoffman,,53,17.67%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
197,E.P. de Monchy,,9,3.00%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
198,A. van Rijckevorsel,,9,3.00%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
199,J.H.C. van der Kun,,6,2.00%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
200,mr. J.R. Thorbecke,,4,1.33%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
201,jhr.mr. W.T. Gevers Deynoot,,4,1.33%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
202,M.A.F. Hoffman,,4,1.33%,Rotterdam II,30/11/1848,algemeen,339,300,300,300,0,1,150
203,mr. K.A. Poortman,,446,73.48%,Schiedam,30/11/1848,algemeen,751,609,609,607,1,1,304
204,mr. C.L.A. van der Horst,,83,13.67%,Schiedam,30/11/1848,algemeen,751,609,609,607,1,1,304
205,S. Rijnbende,,22,3.62%,Schiedam,30/11/1848,algemeen,751,609,609,607,1,1,304
206,mr. W.C. Mees,,22,3.62%,Schiedam,30/11/1848,algemeen,751,609,609,607,1,1,304
207,mr. Ã. baron van Mackay,,10,1.65%,Schiedam,30/11/1848,algemeen,751,609,609,607,1,1,304
208,mr. W. Wijnaendts,,196,32.50%,Ridderkerk,30/11/1848,algemeen,737,607,607,603,1,1,302
209,A. Vogelsang,,146,24.21%,Ridderkerk,30/11/1848,algemeen,737,607,607,603,1,1,302
210,L. Kluit,,89,14.76%,Ridderkerk,30/11/1848,algemeen,737,607,607,603,1,1,302
211,P.J. de Raadt van Hendrik-Ido-Ambacht,,84,13.93%,Ridderkerk,30/11/1848,algemeen,737,607,607,603,1,1,302
212,mr. J.S. Lotsy,,34,5.64%,Ridderkerk,30/11/1848,algemeen,737,607,607,603,1,1,302
213,D. Molenaar,,10,1.66%,Ridderkerk,30/11/1848,algemeen,737,607,607,603,1,1,302
214,mr. J.R. Thorbecke,,9,1.49%,Ridderkerk,30/11/1848,algemeen,737,607,607,603,1,1,302
215,mr. W. Wijnaendts,,292,51.23%,Ridderkerk,09/12/1848,herstemming,737,590,590,570,18,1,285
216,A. Vogelsang,,278,48.77%,Ridderkerk,09/12/1848,herstemming,737,590,590,570,18,1,285
217,mr. S.H. Anemaet,,614,90.69%,Brielle,30/11/1848,algemeen,845,681,681,677,2,1,339
218,mr. J.R. Thorbecke,,10,1.48%,Brielle,30/11/1848,algemeen,845,681,681,677,2,1,339
219,W.P. Jonas,,9,1.33%,Brielle,30/11/1848,algemeen,845,681,681,677,2,1,339
220,mr. J.J. Slicher van Domburg,,470,69.22%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
221,mr. A.F. SifflÃ©,,44,6.48%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
222,mr. J.R. Thorbecke,,37,5.45%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
223,mr. G. Groen van Prinsterer,,23,3.39%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
224,mr. J.F. Bijleveld,,14,2.06%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
225,mr. S. de Wind,,14,2.06%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
226,jhr.mr. M.C. Paspoort van Grijpskerke,,11,1.62%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
227,jhr. W. Versluijs,,8,1.18%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
228,mr. G.A. Fokker,,7,1.03%,Middelburg,30/11/1848,algemeen,857,688,688,679,7,1,340
229,mr. G.A. Fokker,,401,63.65%,Zierikzee,30/11/1848,algemeen,770,634,634,630,4,1,315
230,mr. W.J.P. Kroef,,146,23.17%,Zierikzee,30/11/1848,algemeen,770,634,634,630,4,1,315
231,J.H.L. Vader,,21,3.33%,Zierikzee,30/11/1848,algemeen,770,634,634,630,4,1,315
232,jhr. W.D. de Jonge,,10,1.59%,Zierikzee,30/11/1848,algemeen,770,634,634,630,4,1,315
233,mr. P.J. Bachiene,,259,43.31%,Goes,30/11/1848,algemeen,739,607,607,598,9,1,299
234,mr. J.J. van Deinse,,246,41.14%,Goes,30/11/1848,algemeen,739,607,607,598,9,1,299
235,R.B. van den Bosch,,23,3.85%,Goes,30/11/1848,algemeen,739,607,607,598,9,1,299
236,A. Kakebeeke,,8,1.34%,Goes,30/11/1848,algemeen,739,607,607,598,9,1,299
237,jhr. W. Versluijs,,8,1.34%,Goes,30/11/1848,algemeen,739,607,607,598,9,1,299
238,mr. P.J. Bachiene,,324,58.91%,Goes,09/12/1848,herstemming,739,562,562,550,10,1,275
239,mr. J.J. van Deinse,,226,41.09%,Goes,09/12/1848,herstemming,739,562,562,550,10,1,275
240,mr. D. van Eck,,495,78.57%,Sluis,30/11/1848,algemeen,757,634,634,630,3,1,315
241,mr. S. de Wind,,51,8.10%,Sluis,30/11/1848,algemeen,757,634,634,630,3,1,315
242,mr. A.F. SifflÃ©,,27,4.29%,Sluis,30/11/1848,algemeen,757,634,634,630,3,1,315
243,mr. P.J. Bachiene,,16,2.54%,Sluis,30/11/1848,algemeen,757,634,634,630,3,1,315
244,J.H.Q. Janssen,,13,2.06%,Sluis,30/11/1848,algemeen,757,634,634,630,3,1,315
245,mr. J.E. Risseeuw,,7,1.11%,Sluis,30/11/1848,algemeen,757,634,634,630,3,1,315
